threshold	false_positive_rate	true_positive_rate
0.01	0.036231884057971016	0.9965034965034965
0.02	0.03260869565217391	0.9965034965034965
0.03	0.03260869565217391	0.9965034965034965
0.04	0.03260869565217391	0.9965034965034965
0.05	0.03260869565217391	0.9965034965034965
0.060000000000000005	0.03260869565217391	0.9965034965034965
0.06999999999999999	0.03260869565217391	0.9965034965034965
0.08	0.03260869565217391	0.9965034965034965
0.09	0.03260869565217391	0.9965034965034965
0.09999999999999999	0.03260869565217391	0.9965034965034965
0.11	0.030797101449275364	0.9965034965034965
0.12	0.030797101449275364	0.9965034965034965
0.13	0.028985507246376812	0.9965034965034965
0.14	0.028985507246376812	0.9965034965034965
0.15000000000000002	0.02717391304347826	0.9965034965034965
0.16	0.02717391304347826	0.9965034965034965
0.17	0.02717391304347826	0.9965034965034965
0.18000000000000002	0.02717391304347826	0.9965034965034965
0.19	0.025362318840579712	0.9965034965034965
0.2	0.025362318840579712	0.9965034965034965
0.21000000000000002	0.025362318840579712	0.9965034965034965
0.22	0.025362318840579712	0.9965034965034965
0.23	0.025362318840579712	0.9965034965034965
0.24000000000000002	0.025362318840579712	0.9965034965034965
0.25	0.025362318840579712	0.9965034965034965
0.26	0.025362318840579712	0.9965034965034965
0.27	0.025362318840579712	0.9965034965034965
0.28	0.025362318840579712	0.9965034965034965
0.29000000000000004	0.025362318840579712	0.9965034965034965
0.3	0.025362318840579712	0.9965034965034965
0.31	0.025362318840579712	0.9965034965034965
0.32	0.025362318840579712	0.9965034965034965
0.33	0.025362318840579712	0.9965034965034965
0.34	0.025362318840579712	0.9965034965034965
0.35000000000000003	0.025362318840579712	0.9965034965034965
0.36000000000000004	0.02355072463768116	0.9965034965034965
0.37	0.02355072463768116	0.9965034965034965
0.38	0.02355072463768116	0.9965034965034965
0.39	0.02355072463768116	0.9965034965034965
0.4	0.02355072463768116	0.9965034965034965
0.41000000000000003	0.02355072463768116	0.9965034965034965
0.42000000000000004	0.02355072463768116	0.9965034965034965
0.43	0.02355072463768116	0.9965034965034965
0.44	0.02355072463768116	0.9965034965034965
0.45	0.02355072463768116	0.9965034965034965
0.46	0.02355072463768116	0.9965034965034965
0.47000000000000003	0.02355072463768116	0.9965034965034965
0.48000000000000004	0.02355072463768116	0.9965034965034965
0.49	0.02355072463768116	0.9965034965034965
0.5	0.02355072463768116	0.9947552447552448
0.51	0.02355072463768116	0.9947552447552448
0.52	0.02355072463768116	0.9947552447552448
0.53	0.02355072463768116	0.9947552447552448
0.54	0.02355072463768116	0.9947552447552448
0.55	0.02355072463768116	0.9947552447552448
0.56	0.02355072463768116	0.9947552447552448
0.5700000000000001	0.02355072463768116	0.9947552447552448
0.5800000000000001	0.02355072463768116	0.9947552447552448
0.59	0.021739130434782608	0.9947552447552448
0.6	0.021739130434782608	0.9947552447552448
0.61	0.021739130434782608	0.9912587412587412
0.62	0.021739130434782608	0.9912587412587412
0.63	0.021739130434782608	0.9912587412587412
0.64	0.021739130434782608	0.9912587412587412
0.65	0.021739130434782608	0.9912587412587412
0.66	0.021739130434782608	0.9912587412587412
0.67	0.021739130434782608	0.9912587412587412
0.68	0.021739130434782608	0.9912587412587412
0.6900000000000001	0.021739130434782608	0.9912587412587412
0.7000000000000001	0.021739130434782608	0.9912587412587412
0.7100000000000001	0.021739130434782608	0.9912587412587412
0.72	0.021739130434782608	0.9912587412587412
0.73	0.021739130434782608	0.9912587412587412
0.74	0.021739130434782608	0.9912587412587412
0.75	0.021739130434782608	0.9912587412587412
0.76	0.021739130434782608	0.9912587412587412
0.77	0.021739130434782608	0.9912587412587412
0.78	0.021739130434782608	0.9912587412587412
0.79	0.019927536231884056	0.9912587412587412
0.8	0.019927536231884056	0.9912587412587412
0.81	0.019927536231884056	0.9912587412587412
0.8200000000000001	0.019927536231884056	0.9912587412587412
0.8300000000000001	0.019927536231884056	0.9912587412587412
0.8400000000000001	0.019927536231884056	0.9895104895104895
0.85	0.019927536231884056	0.9895104895104895
0.86	0.019927536231884056	0.9895104895104895
0.87	0.019927536231884056	0.9895104895104895
0.88	0.019927536231884056	0.9895104895104895
0.89	0.019927536231884056	0.9895104895104895
0.9	0.019927536231884056	0.9895104895104895
0.91	0.019927536231884056	0.9895104895104895
0.92	0.018115942028985508	0.9895104895104895
0.93	0.018115942028985508	0.9895104895104895
0.9400000000000001	0.018115942028985508	0.9895104895104895
0.9500000000000001	0.018115942028985508	0.9877622377622378
0.9600000000000001	0.018115942028985508	0.9877622377622378
0.97	0.018115942028985508	0.9877622377622378
0.98	0.018115942028985508	0.9877622377622378
0.99	0.018115942028985508	0.986013986013986
